id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,koridor,jumlah_penumpang,satuan,tahun
138,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 5 (ANTAPANI - ST.HALL),911,ORANG,2020
139,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 1 (CIBIRU - CIBEUREUM),7922,ORANG,2020
140,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 2 (CICAHEUM - CIBEUREUM),6018,ORANG,2020
141,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 3 (CICAHEUM - SARIJADI),3725,ORANG,2020
142,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),2837,ORANG,2020
143,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 5 (ANTAPANI - ST.HALL),1290,ORANG,2020
144,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 1 (CIBIRU - CIBEUREUM),9109,ORANG,2020
145,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 2 (CICAHEUM - CIBEUREUM),6891,ORANG,2020
146,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 3 (CICAHEUM - SARIJADI),3728,ORANG,2020
147,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),3508,ORANG,2020
148,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 5 (ANTAPANI - ST.HALL),1436,ORANG,2020
149,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),6860,ORANG,2020
150,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),6101,ORANG,2020
151,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),3026,ORANG,2020
152,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),2875,ORANG,2020
